customer_id,credit_score,payment_history,credit_utilization,recent_inquiries,debt_to_income_ratio,length_of_credit_history
29110,768.0,96.99,0.2,4,0.68,4.67
29111,663.0,98.92,0.19,3,0.39,6.39
29112,640.0,66.03,0.23,1,0.67,10.07
29113,656.0,74.56,0.74,0,0.77,15.11
29114,850.0,51.32,0.85,2,0.68,14.96
29115,724.0,75.71,0.59,3,0.8,18.43
29116,665.0,65.22,0.81,0,0.07,13.4
29117,666.0,62.52,0.52,4,0.04,13.74
29118,673.0,93.31,0.53,2,0.25,7.55
29119,600.0,52.17,0.18,1,0.36,5.79
29120,611.0,93.12,0.18,2,0.67,16.2
29121,726.0,51.79,0.72,2,0.63,2.98
29122,432.0,91.57,0.51,3,0.85,19.63
29123,721.0,95.99,0.36,2,0.01,13.29
29124,549.0,56.41,0.6,3,0.56,2.0
29125,648.0,51.99,0.88,2,0.07,16.85
29126,544.0,99.32,0.75,0,0.72,6.88
29127,701.0,96.99,0.39,2,0.91,8.09
29128,538.0,54.31,0.94,3,0.76,5.38
29129,668.0,89.95,0.27,3,0.7,11.2
29130,747.0,83.98,0.38,1,0.69,16.76
29131,581.0,92.22,0.65,2,0.97,16.7
29132,542.0,85.75,0.38,0,0.22,9.08
29133,594.0,55.71,0.94,1,0.24,9.25
29134,765.0,94.01,0.01,2,0.92,8.15
29135,608.0,66.98,0.75,1,0.67,3.59
29136,626.0,88.95,0.48,2,0.88,4.13
29137,787.0,63.17,0.99,4,0.87,18.73
29138,651.0,89.67,0.26,3,0.8,17.31
29139,436.0,83.51,0.24,2,0.42,4.29
29140,644.0,81.8,0.19,0,0.2,11.35
29141,494.0,90.96,0.23,4,0.28,2.65
29142,430.0,95.97,0.04,0,0.03,19.66
29143,527.0,76.85,0.94,2,0.12,16.56
29144,531.0,87.75,0.31,1,0.3,6.18
29145,543.0,96.28,0.36,1,0.55,14.08
29146,617.0,61.84,0.56,4,0.94,4.31
29147,679.0,77.28,0.36,2,0.42,3.79
29148,668.0,88.28,0.45,0,0.9,18.07
29149,724.0,93.81,0.49,1,0.91,6.62
29150,824.0,57.84,0.66,4,0.78,18.67
29151,486.0,70.08,0.28,1,0.45,16.21
29152,630.0,98.16,1.0,0,0.98,0.78
29153,454.0,63.03,0.59,2,0.15,9.21
29154,344.0,99.66,0.92,5,0.14,14.23
29155,557.0,77.92,0.46,4,0.55,13.7
29156,617.0,87.75,0.24,4,0.99,18.93
29157,534.0,75.29,0.37,3,0.63,1.73
29158,686.0,64.02,0.35,4,0.19,8.95
29159,436.0,80.06,0.72,1,0.18,3.66
29160,626.0,98.11,0.79,2,0.46,1.32
29161,703.0,85.03,0.5,2,0.96,5.5
29162,523.0,64.84,0.97,0,0.49,10.43
29163,653.0,85.03,0.29,2,0.93,12.7
29164,557.0,56.65,0.27,2,0.9,1.2
29165,589.0,63.36,0.26,1,0.62,3.4
29166,547.0,71.85,0.97,0,0.86,18.52
29167,643.0,95.94,0.3,0,0.15,10.06
29168,663.0,77.11,0.55,0,0.96,6.9
29169,547.0,57.46,0.78,1,0.13,10.07
29170,743.0,51.49,0.02,1,0.87,4.82
29171,613.0,58.0,0.35,1,0.55,19.62
29172,535.0,86.61,0.13,2,0.88,17.19
29173,581.0,61.57,0.82,1,0.59,0.72
29174,609.0,92.96,0.2,3,0.38,7.78
29175,625.0,52.35,0.39,2,0.27,19.03
29176,584.0,50.74,0.13,1,0.3,4.88
29177,644.0,67.0,0.68,2,0.78,11.62
29178,653.0,84.92,0.77,4,0.15,19.96
29179,616.0,62.68,0.89,3,0.6,3.4
29180,500.0,87.11,0.89,5,0.35,19.05
29181,565.0,83.75,0.34,0,0.43,15.3
29182,681.0,72.18,0.47,5,0.77,6.54
29183,514.0,75.05,0.8,1,0.62,13.11
29184,515.0,76.97,0.92,2,0.41,11.27
29185,573.0,52.21,0.43,3,0.78,12.48
29186,687.0,51.2,0.48,2,0.83,4.85
29187,691.0,60.68,0.25,2,0.56,4.25
29188,456.0,75.32,0.01,2,0.37,6.93
29189,541.0,70.51,0.7,3,0.6,2.84
29190,529.0,71.03,0.74,2,0.25,4.85
29191,850.0,85.84,0.78,0,0.87,18.74
29192,521.0,67.56,0.41,1,0.77,7.53
29193,557.0,71.63,0.06,2,0.02,15.81
29194,643.0,88.13,0.21,3,0.16,18.06
29195,510.0,55.47,0.54,3,0.49,10.63
29196,630.0,83.89,0.36,2,0.79,14.78
29197,595.0,65.63,0.29,0,0.13,18.07
29198,575.0,84.07,0.5,3,0.51,18.28
29199,610.0,59.07,0.87,3,0.25,6.85
29200,694.0,96.37,0.54,1,0.96,10.08
29201,523.0,65.87,0.99,1,0.42,8.24
29202,443.0,78.54,0.26,3,0.5,9.85
29203,767.0,87.67,0.5,1,0.16,12.18
29204,459.0,59.73,0.03,2,0.15,4.88
29205,850.0,62.78,0.63,2,0.2,3.72
29206,549.0,84.28,0.54,5,0.5,15.67
29207,759.0,69.46,0.89,3,0.49,12.26
29208,624.0,78.74,0.64,2,0.29,15.08
29209,693.0,65.22,0.41,2,0.54,12.13
29210,656.0,60.19,0.18,4,0.43,17.75
29211,592.0,99.03,0.27,3,0.72,12.78
29212,525.0,92.4,0.26,1,0.8,15.44
29213,752.0,51.26,0.82,4,0.14,19.89
29214,300.0,67.19,0.02,1,0.77,15.75
29215,728.0,99.37,0.02,3,0.12,2.38
29216,588.0,94.21,0.31,4,0.02,17.56
29217,631.0,64.73,0.68,2,0.63,11.27
29218,499.0,61.67,0.83,2,0.31,1.72
29219,410.0,74.48,0.56,0,0.25,7.68
29220,503.0,85.38,0.33,1,0.49,13.79
29221,604.0,67.98,0.52,0,0.83,6.9
29222,757.0,65.57,0.87,2,0.58,5.99
29223,315.0,63.73,0.01,2,0.65,7.16
29224,752.0,69.32,0.52,4,0.97,5.96
29225,343.0,99.17,0.85,0,0.85,4.52
29226,502.0,62.69,0.93,1,0.85,18.97
29227,487.0,59.76,0.74,3,0.16,0.83
29228,590.0,57.68,0.49,4,0.46,7.54
29229,623.0,50.65,0.11,2,0.61,9.56
29230,631.0,61.56,0.84,2,0.32,12.87
29231,523.0,61.91,0.02,1,0.37,15.46
29232,601.0,79.86,0.42,1,0.88,5.42
29233,544.0,90.61,0.56,4,0.65,7.92
29234,608.0,65.95,0.24,1,0.04,1.83
29235,654.0,79.92,0.92,2,0.52,6.92
29236,728.0,76.55,0.37,5,0.54,11.77
29237,565.0,88.83,0.67,1,0.79,12.39
29238,621.0,75.66,0.4,4,0.39,2.5
29239,575.0,95.64,0.48,2,0.85,10.24
29240,305.0,82.56,0.58,3,0.27,10.7
29241,420.0,51.03,0.89,3,0.98,12.19
29242,658.0,89.25,0.86,2,0.27,8.67
29243,541.0,95.16,0.47,2,0.47,12.97
29244,575.0,65.19,0.37,3,0.39,16.33
29245,654.0,51.6,0.22,2,0.65,3.08
29246,494.0,76.86,0.03,3,0.23,11.01
29247,560.0,51.32,0.44,1,0.11,2.09
29248,765.0,67.64,0.23,1,0.56,15.55
29249,608.0,69.5,0.59,5,0.31,7.82
29250,658.0,82.22,0.33,2,0.04,15.37
29251,662.0,50.35,0.84,1,0.21,4.76
29252,715.0,56.92,0.68,7,0.15,15.74
29253,556.0,55.08,0.76,4,0.94,2.82
29254,455.0,56.28,0.98,3,0.41,4.02
29255,524.0,96.07,0.05,2,0.51,2.88
29256,587.0,85.54,0.38,1,0.9,14.55
29257,656.0,52.11,0.11,3,0.48,12.9
29258,716.0,86.36,0.11,1,1.0,13.22
29259,676.0,75.05,0.37,2,0.33,17.47
29260,593.0,72.47,0.55,0,0.04,10.94
29261,744.0,55.6,0.76,1,0.04,5.39
29262,676.0,78.11,0.7,7,0.19,11.79
29263,441.0,91.63,0.09,2,0.65,14.53
29264,543.0,61.18,0.21,2,0.71,13.97
29265,684.0,84.59,0.24,2,0.95,16.16
29266,684.0,73.88,0.61,0,0.79,2.43
29267,684.0,51.71,0.11,1,0.9,13.83
29268,473.0,97.21,0.98,1,0.72,6.61
29269,585.0,90.21,0.3,7,0.67,15.45
29270,505.0,89.04,0.95,2,0.19,3.87
29271,551.0,70.88,0.22,2,0.28,2.97
29272,643.0,56.55,0.98,1,0.6,13.32
29273,698.0,62.42,0.04,1,0.68,14.19
29274,585.0,95.79,0.92,3,0.19,6.55
29275,646.0,72.54,0.53,2,0.1,13.71
29276,441.0,93.92,0.28,5,0.21,7.89
29277,668.0,62.9,0.87,3,0.04,10.0
29278,496.0,71.36,0.05,4,0.42,8.03
29279,625.0,88.38,0.83,3,0.45,8.56
29280,634.0,86.14,0.06,1,0.11,14.96
29281,621.0,96.84,0.17,1,0.7,9.74
29282,600.0,97.1,0.79,1,0.45,19.97
29283,556.0,79.9,0.61,0,0.41,5.76
29284,686.0,51.43,0.88,4,0.86,13.61
29285,531.0,70.77,0.57,2,0.42,11.41
29286,542.0,62.91,0.46,0,0.38,7.92
29287,590.0,89.1,0.2,3,0.83,18.95
29288,471.0,85.75,0.32,2,0.51,5.17
29289,475.0,89.47,0.75,1,0.73,4.11
29290,423.0,71.96,0.75,1,0.85,9.23
29291,477.0,58.4,0.2,5,0.73,2.01
29292,624.0,66.24,0.1,2,0.13,0.95
29293,507.0,91.04,0.11,0,0.44,13.29
29294,586.0,54.42,0.66,2,0.78,5.84
29295,538.0,72.51,0.6,2,0.99,2.94
29296,645.0,65.23,0.66,3,0.55,19.84
29297,602.0,96.47,0.81,4,0.54,17.53
29298,827.0,66.26,0.69,1,0.11,19.6
29299,595.0,58.79,0.09,3,0.3,10.92
29300,531.0,51.17,0.54,0,0.92,11.56
29301,571.0,93.04,0.96,0,0.48,12.49
29302,607.0,89.13,0.31,1,0.49,8.91
29303,587.0,81.29,0.31,2,0.72,1.7
29304,431.0,87.68,0.9,2,0.14,16.28
29305,515.0,83.71,0.96,3,0.53,19.9
29306,498.0,54.34,0.17,2,0.09,8.74
29307,596.0,83.99,0.41,1,0.3,9.24
29308,547.0,64.61,0.81,2,0.12,13.36
29309,580.0,72.93,0.55,3,0.38,12.7
29310,674.0,97.41,0.14,2,0.11,3.7
29311,674.0,88.43,0.04,3,0.93,3.46
29312,657.0,93.95,0.68,2,0.24,4.05
29313,474.0,95.99,0.34,2,0.97,5.38
29314,496.0,78.6,0.52,5,0.76,8.05
29315,583.0,56.53,0.36,3,0.26,13.89
29316,655.0,95.46,0.19,4,0.43,16.69
29317,570.0,65.3,0.76,2,0.74,7.28
29318,558.0,62.68,0.24,2,0.09,16.83
29319,479.0,64.65,0.42,3,0.87,8.68
29320,515.0,81.95,0.73,0,0.82,4.47
29321,500.0,91.61,0.24,2,0.8,8.71
29322,441.0,72.3,0.62,2,0.21,5.18
29323,501.0,51.13,0.77,3,0.59,13.49
29324,720.0,65.64,0.75,1,0.12,17.29
29325,653.0,98.92,0.35,3,0.64,11.54
29326,559.0,58.11,0.83,4,0.71,16.01
29327,528.0,67.58,0.17,1,0.24,17.94
29328,718.0,96.55,0.11,2,0.67,9.43
29329,428.0,68.9,0.98,1,0.76,19.12
29330,535.0,64.36,0.84,1,0.47,12.58
29331,752.0,97.21,0.43,2,0.76,3.9
29332,606.0,63.01,0.71,3,0.06,9.89
29333,613.0,98.11,0.42,1,0.89,18.92
29334,596.0,58.42,0.19,1,0.21,12.77
29335,639.0,70.7,0.17,1,0.72,9.36
29336,635.0,85.78,0.67,3,0.9,2.64
29337,466.0,85.2,0.65,1,0.48,2.52
29338,610.0,90.48,0.88,2,0.33,3.9
29339,515.0,86.44,0.96,2,0.13,19.91
29340,511.0,68.77,0.61,2,0.68,1.46
29341,764.0,90.83,0.09,4,0.11,12.43
29342,626.0,91.97,0.47,3,0.23,9.59
29343,702.0,57.68,0.34,5,0.35,18.34
29344,345.0,86.84,0.54,2,0.82,5.57
29345,478.0,80.43,1.0,1,0.6,13.88
29346,565.0,50.67,0.37,1,0.65,13.83
29347,559.0,82.37,0.54,2,0.56,6.85
29348,832.0,54.85,0.9,1,0.85,13.63
29349,477.0,64.14,0.19,4,0.41,4.83
29350,571.0,80.71,0.09,1,0.69,10.88
29351,638.0,87.81,0.67,2,0.65,7.87
29352,564.0,62.26,0.09,1,0.55,13.07
29353,404.0,86.52,0.26,3,0.01,13.56
29354,541.0,54.59,0.42,4,0.64,19.74
29355,552.0,89.6,0.78,0,0.56,15.74
29356,402.0,52.42,0.24,1,0.08,8.98
29357,530.0,60.66,0.08,2,0.05,14.7
29358,492.0,68.0,0.65,1,0.57,16.07
29359,529.0,63.36,0.99,1,0.84,8.9
29360,704.0,54.69,0.15,2,0.58,18.69
29361,662.0,68.01,0.41,2,0.72,12.66
29362,565.0,75.27,0.58,3,0.15,17.71
29363,711.0,62.99,0.56,0,0.59,12.28
29364,507.0,94.5,0.6,1,0.52,8.48
29365,595.0,90.6,0.02,3,0.52,3.0
29366,529.0,88.83,0.48,1,0.0,12.06
29367,749.0,74.99,0.43,2,0.32,8.94
29368,620.0,64.51,0.61,3,0.28,19.84
29369,593.0,75.51,0.21,6,0.79,11.54
29370,653.0,53.99,0.48,1,0.58,5.58
29371,653.0,92.19,0.74,1,0.96,7.22
29372,511.0,94.3,0.48,2,0.3,6.95
29373,589.0,53.71,0.62,1,0.87,19.82
29374,504.0,78.7,0.46,2,0.95,17.04
29375,749.0,65.3,0.45,3,0.79,3.66
29376,674.0,97.18,0.53,2,0.29,5.48
29377,558.0,93.86,0.96,4,0.63,8.33
29378,728.0,92.01,0.91,2,0.53,19.99
29379,666.0,86.12,0.42,2,0.28,19.41
29380,531.0,90.64,0.28,1,0.64,17.54
29381,622.0,81.59,0.08,0,0.94,3.46
29382,595.0,60.52,0.07,1,0.73,17.39
29383,660.0,77.74,0.24,0,0.37,5.56
29384,459.0,92.12,0.19,1,0.19,8.12
29385,678.0,92.02,0.65,0,0.15,13.95
29386,593.0,71.56,0.01,3,0.76,14.55
29387,571.0,63.09,0.63,0,0.34,6.15
29388,816.0,84.49,0.99,2,0.4,4.53
29389,534.0,66.15,0.72,0,0.88,4.19
29390,722.0,50.79,0.5,5,0.25,14.85
29391,622.0,72.83,0.57,2,0.45,2.12
29392,579.0,69.23,0.01,2,0.91,11.61
29393,594.0,60.38,0.96,0,0.56,15.51
29394,436.0,75.45,0.59,1,0.38,13.71
29395,641.0,96.25,0.23,4,0.74,15.47
29396,426.0,52.24,0.97,3,0.99,19.97
29397,817.0,59.88,0.93,1,0.1,17.63
29398,492.0,75.51,0.97,2,0.11,14.25
29399,634.0,50.99,0.45,2,0.93,14.18
29400,612.0,73.73,0.73,3,0.98,2.01
29401,495.0,95.89,0.04,1,0.38,7.17
29402,583.0,60.16,0.23,1,0.95,1.46
29403,505.0,69.16,0.29,2,0.14,7.38
29404,523.0,76.34,0.5,2,0.96,17.93
29405,694.0,89.14,0.4,0,0.74,8.86
29406,610.0,92.05,0.46,3,0.39,18.68
29407,512.0,93.48,0.77,1,0.5,16.7
29408,707.0,86.12,0.33,5,0.31,5.2
29409,619.0,89.96,0.58,3,0.87,19.92
29410,520.0,66.03,0.48,0,0.27,10.35
29411,650.0,91.02,0.08,0,0.79,9.63
29412,646.0,89.77,0.35,4,0.77,13.82
29413,755.0,80.11,0.56,1,0.07,7.92
29414,714.0,75.5,0.28,1,0.65,16.38
29415,714.0,50.41,0.17,3,0.02,15.07
29416,629.0,54.56,0.88,0,0.39,1.69
29417,374.0,69.15,0.25,4,0.17,5.13
29418,581.0,80.87,0.87,2,0.74,18.61
29419,625.0,60.1,0.52,2,0.27,2.31
29420,566.0,51.0,0.2,1,0.94,14.73
29421,685.0,94.61,0.87,4,0.08,18.73
29422,569.0,53.36,0.54,2,0.63,11.61
29423,707.0,73.06,0.68,4,0.24,2.85
29424,604.0,80.13,0.93,3,0.4,3.92
29425,506.0,94.89,0.34,2,0.07,14.42
29426,531.0,50.58,0.79,3,0.42,5.45
29427,671.0,67.62,0.86,2,0.08,17.44
29428,589.0,72.54,0.1,2,0.95,9.13
29429,717.0,64.79,0.79,3,0.25,19.67
29430,467.0,50.24,0.78,2,0.31,4.58
29431,598.0,64.54,0.31,2,0.5,14.21
29432,595.0,62.09,0.11,5,0.87,7.35
29433,556.0,93.12,1.0,1,0.49,13.87
29434,541.0,69.85,0.85,3,0.37,17.88
29435,592.0,59.69,0.28,2,0.11,6.42
29436,824.0,72.53,0.3,1,0.31,12.24
29437,621.0,50.66,0.46,4,0.57,1.47
29438,531.0,72.45,0.55,2,0.55,18.54
29439,566.0,58.99,0.44,3,0.36,9.26
29440,566.0,88.62,0.48,2,0.14,15.63
29441,689.0,66.11,0.01,0,0.46,8.76
29442,769.0,53.47,0.09,1,0.77,15.97
29443,636.0,61.57,0.13,3,0.31,15.15
29444,649.0,71.56,0.74,0,0.23,16.94
29445,579.0,68.46,0.63,1,0.16,13.52
29446,662.0,73.31,0.3,1,0.33,12.97
29447,602.0,70.16,0.59,2,0.08,11.49
29448,749.0,63.15,0.69,2,0.13,8.62
29449,530.0,67.76,0.09,1,0.02,10.6
29450,656.0,59.98,0.54,3,0.75,3.31
29451,638.0,63.34,0.47,2,0.34,7.04
29452,595.0,83.18,0.31,4,0.77,6.8
29453,581.0,78.88,0.85,3,0.02,12.74
29454,643.0,96.57,0.18,4,0.11,13.79
29455,581.0,67.12,0.25,3,0.37,13.3
29456,658.0,89.09,0.18,0,0.25,12.39
29457,656.0,51.81,0.91,0,0.55,18.96
29458,568.0,79.78,0.04,1,0.52,2.61
29459,730.0,93.85,0.75,1,0.76,19.13
29460,661.0,88.44,0.81,1,0.94,3.73
29461,580.0,64.41,0.71,4,0.74,11.58
29462,594.0,77.24,0.46,1,0.33,15.46
29463,648.0,82.0,0.96,4,0.32,6.49
29464,596.0,60.05,0.51,4,0.37,19.66
29465,585.0,74.6,0.17,2,0.66,2.81
29466,690.0,87.96,0.07,3,0.7,19.88
29467,698.0,82.54,0.48,1,0.54,11.04
29468,850.0,83.65,0.41,2,0.79,7.03
29469,572.0,61.87,0.62,0,0.09,14.52
29470,615.0,76.22,0.66,3,0.58,10.01
29471,527.0,63.58,0.66,4,0.51,2.05
29472,551.0,84.12,0.91,2,0.12,12.62
29473,593.0,56.52,0.5,3,0.72,9.79
29474,744.0,70.16,0.95,1,0.33,16.75
29475,559.0,96.84,0.34,1,0.26,11.54
29476,753.0,99.98,0.37,1,0.78,10.03
29477,717.0,81.19,0.57,1,0.81,18.5
29478,582.0,84.83,0.54,3,0.2,13.9
29479,559.0,51.51,0.94,3,0.28,11.28
29480,437.0,65.0,0.27,3,0.69,15.23
29481,704.0,93.39,0.49,0,0.61,12.3
29482,712.0,89.29,0.61,5,0.87,8.7
29483,346.0,92.9,0.07,1,0.01,16.16
29484,571.0,91.68,0.29,2,0.78,16.4
29485,663.0,91.11,0.27,8,0.23,9.92
29486,742.0,56.21,0.21,1,0.21,11.48
29487,660.0,96.89,0.21,2,0.48,10.81
29488,610.0,70.13,0.97,2,0.27,11.12
29489,480.0,58.79,0.74,1,0.48,11.39
29490,839.0,97.21,0.17,4,0.31,6.13
29491,573.0,98.94,0.69,4,0.4,19.27
29492,615.0,50.84,0.03,0,0.82,10.51
29493,710.0,86.5,0.9,2,0.4,18.46
29494,524.0,89.81,0.31,3,0.04,13.16
29495,607.0,65.62,0.98,3,0.9,2.12
29496,707.0,93.74,0.22,6,0.74,6.05
29497,572.0,71.71,0.61,0,0.57,17.55
29498,504.0,80.72,0.05,2,0.82,7.34
29499,747.0,52.5,0.51,2,0.9,5.54
29500,714.0,50.79,0.09,2,0.67,1.36
29501,546.0,57.55,0.01,3,0.12,0.52
29502,667.0,79.26,0.84,5,0.19,18.68
29503,512.0,56.85,0.41,2,0.36,4.82
29504,535.0,83.85,0.44,2,0.5,11.95
29505,740.0,97.67,0.87,1,0.13,4.37
29506,471.0,89.32,0.3,0,0.32,1.86
29507,613.0,97.01,0.86,0,0.27,6.36
29508,720.0,80.96,0.78,2,0.46,6.81
29509,453.0,87.82,0.73,2,0.94,8.1
29510,604.0,71.21,0.33,6,0.56,13.29
29511,537.0,77.27,0.22,5,0.35,11.47
29512,681.0,63.91,0.46,2,0.22,2.54
29513,682.0,78.87,0.33,0,0.71,6.97
29514,459.0,69.85,0.79,3,0.12,1.75
29515,489.0,63.42,0.42,0,0.43,6.24
29516,700.0,55.86,0.59,5,0.05,11.12
29517,345.0,77.96,0.67,3,0.66,17.91
29518,560.0,91.83,0.53,1,0.47,14.43
29519,466.0,84.94,0.41,2,0.06,3.89
29520,470.0,71.68,0.72,1,0.38,16.13
29521,722.0,89.5,0.28,3,0.97,0.79
29522,641.0,57.31,0.87,1,0.62,5.57
29523,518.0,77.18,0.73,3,0.24,12.12
29524,497.0,55.85,0.38,3,0.82,15.23
29525,788.0,57.47,0.02,1,0.95,7.23
29526,582.0,62.44,0.09,4,0.7,13.36
29527,688.0,81.23,0.86,3,0.95,14.07
29528,595.0,86.45,0.09,1,0.98,0.92
29529,579.0,66.37,0.39,2,0.05,9.36
29530,386.0,75.69,0.61,3,0.08,4.89
29531,648.0,73.14,0.32,2,0.33,3.74
29532,627.0,61.26,0.52,1,0.82,5.79
29533,628.0,50.31,0.4,2,0.19,6.51
29534,588.0,83.05,0.05,2,0.48,19.63
29535,629.0,66.52,0.02,3,0.48,10.77
29536,579.0,63.82,0.07,0,0.11,16.77
29537,652.0,86.32,0.04,0,0.64,3.09
29538,583.0,58.13,0.58,5,0.05,9.7
29539,656.0,69.38,0.93,1,0.6,12.97
29540,571.0,61.15,0.4,3,0.37,5.35
29541,643.0,89.59,0.38,2,0.01,10.21
29542,587.0,88.38,0.74,2,0.75,15.33
29543,708.0,63.16,0.32,3,0.57,3.84
29544,613.0,97.55,0.79,2,0.56,14.72
29545,584.0,72.83,0.75,2,0.48,13.24
29546,664.0,83.15,0.64,3,0.02,4.84
29547,500.0,75.29,0.52,4,0.58,17.32
29548,475.0,95.77,0.62,2,0.09,18.82
29549,547.0,99.57,0.51,0,0.27,11.61
29550,594.0,75.97,0.04,2,0.49,11.0
29551,551.0,81.83,0.16,1,0.39,14.78
29552,489.0,94.25,0.19,3,0.93,19.92
29553,743.0,81.0,0.46,2,0.93,1.66
29554,378.0,84.26,0.86,2,0.61,2.69
29555,478.0,59.39,0.75,1,0.57,3.94
29556,522.0,79.78,0.54,0,0.96,3.93
29557,671.0,53.07,0.18,0,0.99,19.79
29558,662.0,52.73,0.12,4,0.2,14.33
29559,648.0,63.21,0.35,3,0.79,13.62
29560,615.0,76.51,1.0,4,0.81,5.92
29561,750.0,75.04,0.85,1,0.38,10.95
29562,614.0,57.66,0.02,0,0.64,6.84
29563,634.0,99.59,0.6,1,0.38,11.75
29564,650.0,64.77,0.43,3,0.78,18.59
29565,456.0,58.89,0.81,2,0.47,3.33
29566,690.0,81.08,0.05,1,0.15,12.81
29567,412.0,58.65,0.7,0,0.94,6.55
29568,638.0,80.4,0.96,5,0.78,1.21
29569,703.0,62.5,0.95,1,0.15,2.35
29570,578.0,69.68,0.67,1,0.66,13.7
29571,586.0,60.2,0.79,2,0.72,14.55
29572,731.0,54.55,0.18,4,0.15,0.57
29573,582.0,88.11,0.62,5,0.5,12.63
29574,476.0,80.03,0.6,5,0.23,13.93
29575,650.0,93.21,0.76,0,0.85,9.77
29576,476.0,51.16,0.62,2,0.3,18.7
29577,465.0,53.88,0.77,2,0.73,13.69
29578,646.0,71.82,0.52,2,0.03,7.09
29579,742.0,59.29,0.98,4,0.45,2.25
29580,484.0,98.43,0.2,4,0.78,15.24
29581,464.0,63.4,0.57,1,0.97,10.53
29582,616.0,85.15,0.88,2,0.08,0.74
29583,567.0,63.16,0.21,2,0.35,12.92
29584,509.0,79.38,0.51,1,0.8,6.51
29585,688.0,73.67,0.43,5,0.46,9.9
29586,588.0,82.36,0.29,1,0.28,5.0
29587,466.0,60.45,0.95,5,0.56,3.25
29588,635.0,58.3,0.28,1,0.02,7.68
29589,421.0,86.27,0.32,0,0.6,14.68
29590,612.0,85.98,0.71,3,0.9,16.16
29591,664.0,60.62,0.05,3,0.43,17.97
29592,730.0,79.62,0.56,1,0.08,5.18
29593,501.0,59.55,0.53,0,0.3,16.2
29594,610.0,91.2,0.17,4,0.72,8.7
29595,648.0,62.9,0.25,4,0.15,14.43
29596,611.0,88.21,0.14,2,0.44,1.83
29597,480.0,58.18,0.0,3,0.17,19.7
29598,546.0,66.95,0.14,2,0.18,19.38
29599,551.0,75.51,0.46,2,0.6,3.72
29600,559.0,68.28,0.94,3,0.98,17.55
29601,619.0,52.2,0.35,4,0.63,10.97
29602,442.0,77.27,0.09,3,0.46,1.19
29603,696.0,73.79,0.11,2,0.3,11.86
29604,573.0,66.21,0.47,3,0.49,6.55
29605,612.0,65.0,0.83,1,0.91,8.84
29606,763.0,72.25,0.78,2,0.1,12.32
29607,651.0,76.42,0.72,0,0.4,17.68
29608,486.0,74.11,0.27,1,0.36,7.67
29609,575.0,85.75,0.03,0,0.92,2.37
29610,796.0,69.38,0.37,1,0.81,2.99
29611,534.0,97.66,0.22,4,0.47,6.77
29612,552.0,50.85,0.71,7,0.49,14.84
29613,410.0,87.63,0.46,2,0.43,10.51
29614,459.0,92.27,0.63,4,0.07,2.41
29615,784.0,68.61,0.09,3,0.24,11.62
29616,683.0,84.15,0.24,1,0.3,3.22
29617,607.0,57.44,0.96,2,0.02,8.04
29618,541.0,98.69,0.84,1,0.38,11.95
29619,722.0,75.55,0.77,4,0.72,16.58
29620,622.0,50.08,0.08,3,0.02,3.62
29621,752.0,99.38,0.56,3,0.24,17.57
29622,553.0,68.46,0.08,2,0.31,14.89
29623,565.0,86.44,0.09,2,0.67,10.55
29624,683.0,96.22,0.34,1,0.24,7.48
29625,489.0,83.07,0.21,1,0.55,7.31
29626,674.0,61.67,0.38,0,0.7,14.22
29627,609.0,68.55,0.49,1,0.97,7.87
29628,570.0,70.16,0.85,1,0.95,5.45
29629,578.0,84.64,0.29,3,0.76,19.8
29630,640.0,89.81,0.59,2,0.03,19.1
29631,628.0,81.83,0.82,3,0.14,16.08
29632,646.0,96.39,0.73,1,0.57,16.12
29633,543.0,84.35,0.85,1,0.45,6.06
29634,580.0,99.18,0.78,2,0.86,8.62
29635,656.0,62.84,0.2,1,0.96,10.25
29636,826.0,91.51,0.82,2,0.42,6.96
29637,687.0,64.39,0.25,2,0.88,8.95
29638,504.0,63.45,0.6,5,0.24,12.23
29639,412.0,54.21,0.57,3,0.4,12.29
29640,503.0,65.74,0.19,1,0.02,6.98
29641,539.0,69.11,0.62,1,0.18,8.3
29642,589.0,50.4,0.04,0,0.14,2.34
29643,525.0,78.22,0.41,1,0.18,0.94
29644,652.0,97.16,0.42,1,0.04,3.43
29645,595.0,57.63,0.37,1,0.23,1.16
29646,717.0,94.03,0.64,5,0.75,16.32
29647,475.0,68.63,0.06,1,0.77,3.13
29648,729.0,51.68,0.5,0,0.06,14.03
29649,535.0,86.28,0.62,2,0.04,11.79
29650,641.0,71.91,0.67,2,0.74,5.97
29651,754.0,59.87,0.93,1,0.98,11.5
29652,850.0,53.59,0.84,2,0.16,2.65
29653,688.0,54.48,0.84,1,0.6,8.28
29654,642.0,54.57,0.66,2,0.68,11.12
29655,850.0,71.23,0.01,1,0.86,10.77
29656,615.0,74.19,0.31,1,0.11,15.61
29657,650.0,61.57,0.64,1,0.06,13.66
29658,622.0,70.3,0.25,1,0.73,9.53
29659,708.0,86.59,0.78,1,0.87,17.68
29660,720.0,57.2,0.39,4,0.73,13.83
29661,786.0,50.12,0.5,2,0.16,3.48
29662,667.0,70.86,0.23,2,0.31,10.55
29663,613.0,92.47,0.74,2,0.4,5.24
29664,779.0,72.81,0.14,1,0.48,3.31
29665,338.0,65.76,0.63,3,0.41,4.83
29666,596.0,92.73,0.54,3,0.07,3.19
29667,647.0,93.65,0.17,0,0.77,18.8
